,Steps_m,Calories_m,METs_m,Intensity_m,Calories_d,StepTotal_d,ID_d,DATA_LOST,SYNCH,Date
2020-11-10,10006,2085.9276903867762,1.4252777777777779,0.22083333333333333,2085,10017,Fitbit sample 1,False,True,2020-11-10
2020-11-11,7566,1938.9744324684184,1.3202777777777779,0.1798611111111111,1942,7606,Fitbit sample 1,False,True,2020-11-11
2020-11-12,11326,2160.767613410954,1.47875,0.23958333333333334,2160,11326,Fitbit sample 1,False,True,2020-11-12
2020-11-13,7496,1934.7435295581859,1.318125,0.1736111111111111,1934,7496,Fitbit sample 1,False,True,2020-11-13
2020-11-14,10991,2139.519094467167,1.4627777777777777,0.2701388888888889,2139,10991,Fitbit sample 1,False,True,2020-11-14
2020-11-15,5466,1738.2417278289845,1.1750694444444443,0.13958333333333334,1738,5466,Fitbit sample 1,False,True,2020-11-15
2020-11-16,3769,1637.7343440055902,1.1039583333333334,0.09027777777777778,1637,3769,Fitbit sample 1,False,True,2020-11-16
2020-11-17,7588,1901.7425107955976,1.2932638888888888,0.17708333333333334,1901,7588,Fitbit sample 1,False,True,2020-11-17
2020-11-18,6914,1869.2115896940275,1.2706250000000001,0.1527777777777778,1869,6914,Fitbit sample 1,False,True,2020-11-18
2020-11-19,10279,2028.0113730430646,1.3808333333333334,0.22083333333333333,2028,10279,Fitbit sample 1,False,True,2020-11-19
2020-11-20,7513,1921.2046501636548,1.3074305555555557,0.17222222222222222,1921,7513,Fitbit sample 1,False,True,2020-11-20
2020-11-21,8194,1929.9485104084058,1.3129166666666665,0.1638888888888889,1930,8194,Fitbit sample 1,False,True,2020-11-21
2020-11-22,12166,2142.2456747293513,1.4622916666666665,0.28194444444444444,2145,12178,Fitbit sample 1,False,True,2020-11-22
2020-11-23,6353,1864.6986302137418,1.2679861111111113,0.16666666666666666,1865,6353,Fitbit sample 1,False,True,2020-11-23
2020-11-24,7762,1976.1123324632683,1.347986111111111,0.18958333333333333,1976,7762,Fitbit sample 1,False,True,2020-11-24
2020-11-25,5825,1856.8949710130732,1.2625694444444444,0.14930555555555555,1856,5825,Fitbit sample 1,False,True,2020-11-25
2020-11-26,7646,1923.8372125625654,1.3090972222222221,0.17222222222222222,1925,7663,Fitbit sample 1,False,True,2020-11-26
2020-11-27,7956,1961.4452116489451,1.3369444444444445,0.1909722222222222,1961,7956,Fitbit sample 1,False,True,2020-11-27
2020-11-28,6877,1878.3315292596862,1.2770833333333333,0.15625,1878,6877,Fitbit sample 1,False,True,2020-11-28
2020-11-29,5756,1783.0892678499267,1.2078472222222223,0.12430555555555556,1783,5756,Fitbit sample 1,False,True,2020-11-29
2020-11-30,6553,1874.194651961331,1.2746527777777779,0.16041666666666668,1875,6554,Fitbit sample 1,False,True,2020-11-30
2020-12-01,5469,1805.560049057011,1.2255555555555555,0.14027777777777778,1805,5469,Fitbit sample 1,False,True,2020-12-01
2020-12-02,10444,2116.3901734352153,1.4466666666666665,0.2388888888888889,2116,10444,Fitbit sample 1,False,True,2020-12-02
2020-12-03,8237,1998.1130133867307,1.3634027777777777,0.21388888888888888,1998,8237,Fitbit sample 1,False,True,2020-12-03
2020-12-04,9287,2055.653254866604,1.4043055555555557,0.21458333333333332,2057,9309,Fitbit sample 1,False,True,2020-12-04
2020-12-05,8728,1972.72761189938,1.3430555555555554,0.1798611111111111,1972,8728,Fitbit sample 1,False,True,2020-12-05
2020-12-06,5649,1753.1909070015001,1.1859027777777778,0.125,1753,5649,Fitbit sample 1,False,True,2020-12-06
2020-12-07,6357,1913.683051109318,1.304861111111111,0.1875,1915,6371,Fitbit sample 1,False,True,2020-12-07
2020-12-08,6583,1878.2375105619471,1.2772916666666667,0.16597222222222222,1881,6608,Fitbit sample 1,False,True,2020-12-08
2020-12-09,172,1368.178999066359,0.9102083333333334,0.004861111111111111,1368,172,Fitbit sample 1,False,True,2020-12-09
2020-12-10,6267,1859.1514484882398,1.2642361111111111,0.16041666666666668,1859,6267,Fitbit sample 1,False,True,2020-12-10
2020-12-11,8927,1992.9419134855311,1.3579166666666667,0.18888888888888888,1992,8927,Fitbit sample 1,False,True,2020-12-11
2020-12-12,7141,1867.4252095222519,1.2682638888888889,0.14375,1868,7141,Fitbit sample 1,False,True,2020-12-12
2020-12-13,10847,2054.90109109879,1.400486111111111,0.22083333333333333,2054,10869,Fitbit sample 1,False,False,2020-12-13
2020-12-14,6229,1833.8600704669996,1.2449999999999999,0.15347222222222223,1833,6229,Fitbit sample 1,False,True,2020-12-14
2020-12-15,5937,1799.7308074235964,1.2202083333333333,0.14375,1801,5937,Fitbit sample 1,False,True,2020-12-15
2020-12-16,8244,1957.5903897285505,1.3336805555555555,0.2076388888888889,1957,8250,Fitbit sample 1,False,True,2020-12-16
2020-12-17,426,1376.264718770987,0.9156944444444446,0.002777777777777778,1376,1510,Fitbit sample 1,True,True,2020-12-17
2020-12-18,9000,2021.2419321537059,1.3790972222222222,0.20069444444444445,2021,9000,Fitbit sample 1,False,True,2020-12-18
2020-12-19,7192,1927.315950870518,1.313611111111111,0.1798611111111111,1927,7192,Fitbit sample 1,False,True,2020-12-19
2020-12-20,5707,1758.7380874157,1.1902083333333333,0.12291666666666666,1758,5707,Fitbit sample 1,False,True,2020-12-20
2020-12-21,8168,2000.745575070385,1.3644444444444443,0.19583333333333333,2000,8168,Fitbit sample 1,False,True,2020-12-21
2020-12-22,8698,1970.7531905174299,1.3420138888888888,0.18958333333333333,1970,8698,Fitbit sample 1,False,True,2020-12-22
2020-12-23,9392,2049.2598958015483,1.3986805555555555,0.2111111111111111,2050,9398,Fitbit sample 1,False,True,2020-12-23
2020-12-24,8604,2004.224310874943,1.3677777777777778,0.2013888888888889,2004,8604,Fitbit sample 1,False,True,2020-12-24
2020-12-25,12545,2245.6676800251043,1.53875,0.2875,2247,12560,Fitbit sample 1,False,True,2020-12-25
2020-12-26,13884,2270.1128748655356,1.5546527777777777,0.2881944444444444,2270,13884,Fitbit sample 1,False,True,2020-12-26
2020-12-27,9323,1924.96544694901,1.3059027777777779,0.20069444444444445,1924,9323,Fitbit sample 1,False,True,2020-12-27
2020-12-28,6780,1931.5468536615413,1.316736111111111,0.1909722222222222,1931,6780,Fitbit sample 1,False,True,2020-12-28
2020-12-29,7012,1955.0518528223076,1.3339583333333334,0.21319444444444444,1955,7012,Fitbit sample 1,False,True,2020-12-29
2020-12-30,3260,1601.9127228260093,1.0781944444444445,0.08472222222222223,1601,3260,Fitbit sample 1,False,True,2020-12-30
