,Steps,Calories,METs,Intensity,WornDay1,WornDay2,WornDay3
2020-09-23,0,1353.8879585266175,0.9,0.0,False,False,False
2020-09-24,0,1353.8879585266175,0.9,0.0,False,False,False
2020-09-25,0,1353.8879585266175,0.9,0.0,False,False,False
2020-09-26,0,1353.8879585266175,0.9,0.0,False,False,False
2020-09-27,0,1353.8879585266175,0.9,0.0,False,False,False
2020-09-28,0,1353.8879585266175,0.9,0.0,False,False,False
2020-09-29,0,1353.8879585266175,0.9,0.0,False,False,False
2020-09-30,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-01,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-02,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-03,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-04,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-05,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-06,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-07,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-08,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-09,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-10,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-11,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-12,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-13,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-14,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-15,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-16,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-17,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-18,0,1353.8879585266175,0.9,0.0,False,False,False
2020-10-19,4019,1641.9652438163812,1.1063888888888889,0.09027777777777778,False,True,True
2020-10-20,7069,1863.4763675928164,1.2659722222222223,0.15347222222222223,False,True,True
2020-10-21,4660,1737.4895672798207,1.1760416666666667,0.1125,False,True,True
2020-10-22,16193,2451.19540202618,1.684861111111111,0.34305555555555556,True,True,True
2020-10-23,8990,1907.0076266527226,1.2934027777777777,0.1909722222222222,False,True,True
2020-10-24,12425,2096.4579278230713,1.427361111111111,0.25277777777777777,False,True,True
2020-10-25,9610,1993.0359296798752,1.3570833333333334,0.1951388888888889,False,True,True
2020-10-26,7661,1875.1348491907165,1.2725,0.16180555555555556,False,True,True
2020-10-27,8934,1939.068449258809,1.317638888888889,0.17152777777777778,False,True,True
2020-10-28,6387,1815.7142080068636,1.2309722222222221,0.15763888888888888,False,True,True
2020-10-29,5514,1810.8251694440885,1.2291666666666667,0.15138888888888888,True,True,True
2020-10-30,7552,1874.6647479534197,1.273125,0.17083333333333334,False,True,True
2020-10-31,5239,1759.0201475620318,1.1914583333333333,0.12708333333333333,False,True,True
2020-11-01,6019,1812.2354689836548,1.2291666666666667,0.1284722222222222,False,True,True
2020-11-02,7365,1855.4846676588104,1.259097222222222,0.15555555555555556,False,True,True
2020-11-03,4527,1681.2656055688908,1.134861111111111,0.10833333333333334,False,True,True
2020-11-04,10662,2050.294112563138,1.3966666666666667,0.20555555555555555,False,True,True
2020-11-05,13202,2291.079338073734,1.5714583333333334,0.32708333333333334,True,True,True
2020-11-06,0,1354.17001855374,0.9002083333333333,0.0,False,False,False
2020-11-07,6898,1860.6557718515442,1.2632638888888887,0.12986111111111112,False,True,True
2020-11-08,12082,2088.748292446141,1.4221527777777778,0.27152777777777776,False,True,True
2020-11-09,78,1362.7258387804093,0.9063888888888889,0.003472222222222222,False,False,False
2020-11-10,10006,2085.9276903867762,1.4252777777777779,0.22083333333333333,True,True,True
2020-11-11,7566,1938.9744324684184,1.3202777777777779,0.1798611111111111,True,True,True
2020-11-12,11326,2160.767613410954,1.47875,0.23958333333333334,True,True,True
2020-11-13,7496,1934.7435295581859,1.318125,0.1736111111111111,True,True,True
2020-11-14,10991,2139.519094467167,1.4627777777777777,0.2701388888888889,True,True,True
2020-11-15,5466,1738.2417278289845,1.1750694444444443,0.13958333333333334,False,True,True
2020-11-16,3769,1637.7343440055902,1.1039583333333334,0.09027777777777778,False,False,True
2020-11-17,7588,1901.7425107955976,1.2932638888888888,0.17708333333333334,True,True,True
2020-11-18,6914,1869.2115896940275,1.2706250000000001,0.1527777777777778,True,True,True
2020-11-19,10279,2028.0113730430646,1.3808333333333334,0.22083333333333333,False,True,True
2020-11-20,7513,1921.2046501636548,1.3074305555555557,0.17222222222222222,True,True,True
2020-11-21,8194,1929.9485104084058,1.3129166666666665,0.1638888888888889,True,True,True
2020-11-22,12166,2142.2456747293513,1.4622916666666665,0.28194444444444444,True,True,True
2020-11-23,6353,1864.6986302137418,1.2679861111111113,0.16666666666666666,True,True,True
2020-11-24,7762,1976.1123324632683,1.347986111111111,0.18958333333333333,True,True,True
2020-11-25,5825,1856.8949710130732,1.2625694444444444,0.14930555555555555,True,True,True
2020-11-26,7646,1923.8372125625654,1.3090972222222221,0.17222222222222222,True,True,True
2020-11-27,7956,1961.4452116489451,1.3369444444444445,0.1909722222222222,True,True,True
2020-11-28,6877,1878.3315292596862,1.2770833333333333,0.15625,True,True,True
2020-11-29,5756,1783.0892678499267,1.2078472222222223,0.12430555555555556,False,True,True
2020-11-30,6553,1874.194651961331,1.2746527777777779,0.16041666666666668,True,True,True
2020-12-01,5469,1805.560049057011,1.2255555555555555,0.14027777777777778,True,True,True
2020-12-02,10444,2116.3901734352153,1.4466666666666665,0.2388888888888889,True,True,True
2020-12-03,8237,1998.1130133867307,1.3634027777777777,0.21388888888888888,True,True,True
